param layers_in_out : ;ELECTRICITY;GASOLINE;DIESEL;LFO;GAS;WOOD;WET_BIOMASS;COAL;URANIUM;WASTE;H2;AMMONIA;METHANOL;HVC;HEAT_HIGH_T;HEAT_LOW_T_DHN;HEAT_LOW_T_DECEN;MOB_PUBLIC;MOB_PRIVATE;MOB_FREIGHT_RAIL;MOB_FREIGHT_ROAD;MOB_FREIGHT_BOAT;RES_WIND;RES_SOLAR;RES_HYDRO;RES_GEO;CO2_ATM;CO2_INDUSTRY;CO2_CAPTURED;:=
RES_WIND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
RES_SOLAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
RES_HYDRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
RES_GEO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
CO2_ATM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
CO2_INDUSTRY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
CO2_CAPTURED;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
NUCLEAR;1;0;0;0;0;0;0;0;-2.50018501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
CCGT;1;0;0;0;-1.60031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.31746;0;
CCGT_AMMONIA;1;0;0;0;0;0;0;0;0;0;0;-2.01639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
COAL_US;1;0;0;0;0;0;0;-2.05552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.734688;0;
COAL_IGCC;1;0;0;0;0;0;0;-1.86526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.666684;0;
PV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;
WIND_ONSHORE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;
WIND_OFFSHORE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;
HYDRO_RIVER;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;
GEOTHERMAL;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;
IND_COGEN_GAS;0.9565;0;0;0;-2.1739;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.43478;0;
IND_COGEN_WOOD;0.3396;0;0;0;0;-1.8868;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.735852;0;
IND_COGEN_WASTE;0.4444;0;0;0;0;0;0;0;0;-2.22441;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.577772;0;
IND_BOILER_GAS;0;0;0;0;-1.0785;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.2157;0;
IND_BOILER_WOOD;0;0;0;0;0;-1.1568;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.451152;0;
IND_BOILER_OIL;0;0;0;-1.052632;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.297986;0;
IND_BOILER_COAL;0;0;0;0;0;0;0;-1.2195;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.43902;0;
IND_BOILER_WASTE;0;0;0;0;0;0;0;0;0;-1.2195;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.31707;0;
IND_DIRECT_ELEC;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
DHN_HP_ELEC;-0.25493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
DHN_COGEN_GAS;1.25;0;0;0;-2.5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.5;0;
DHN_COGEN_WOOD;0.3396;0;0;0;0;-1.8868;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.735852;0;
DHN_COGEN_WASTE;0.4444;0;0;0;0;0;0;0;0;-2.22441;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.577772;0;
DHN_COGEN_WET_BIOMASS;0.826446;0;0;0;0;0;-6.38651;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2.48826446;0;
DHN_COGEN_BIO_HYDROLYSIS;0.758209;0;0;0;0;0;-2.98804;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1.1641791;0;
DHN_BOILER_GAS;0;0;0;0;-1.0785;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.2157;0;
DHN_BOILER_WOOD;0;0;0;0;0;-1.1568;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.451152;0;
DHN_BOILER_OIL;0;0;0;-1.052632;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.297986;0;
DHN_DEEP_GEO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-1;0;0;0;
DHN_SOLAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-1;0;0;0;0;0;
DEC_HP_ELEC;-0.33988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_THHP_GAS;0;0;0;0;-0.67986;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_COGEN_GAS;0.9565;0;0;0;-2.1739;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_COGEN_OIL;0.907;0;0;-2.3256;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_ADVCOGEN_GAS;2.6364;0;0;0;-4.5455;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_ADVCOGEN_H2;2.6364;0;0;0;0;0;0;0;0;0;-4.5455;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_BOILER_GAS;0;0;0;0;-1.1111;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_BOILER_WOOD;0;0;0;0;0;-1.1765;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_BOILER_OIL;0;0;0;-1.052632;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
DEC_SOLAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-1;0;0;0;0;0;
DEC_DIRECT_ELEC;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
TRAMWAY_TROLLEY;-0.06492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
BUS_COACH_DIESEL;0;0;-0.27358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
BUS_COACH_HYDIESEL;0;0;-0.20672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
BUS_COACH_CNG_STOICH;0;0;0;0;-0.27768;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
BUS_COACH_FC_HYBRIDH2;0;0;0;0;0;0;0;0;0;0;-0.23985;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
BUS_COACH_ELECTRIC;-0.18452584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
TRAIN_PUB;-0.06731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
CAR_GASOLINE;0;-0.51512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
CAR_DIESEL;0;0;-0.44794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
CAR_NG;0;0;0;0;-0.35734;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
CAR_METHANOL;0;0;0;0;0;0;0;0;0;0;0;0;-0.47649;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
CAR_HEV;0;-0.35164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
CAR_PHEV;-0.14347;-0.11334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
CAR_BEV;-0.17234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
CAR_FUEL_CELL;0;0;0;0;0;0;0;0;0;0;-0.23046;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
TRAIN_FREIGHT;-0.07095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
BOAT_FREIGHT_DIESEL;0;0;-0.11026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
BOAT_FREIGHT_NG;0;0;0;0;-0.12754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
BOAT_FREIGHT_METHANOL;0;0;0;0;0;0;0;0;0;0;0;0;-0.12675;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
TRUCK_DIESEL;0;0;-0.52821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
TRUCK_METHANOL;0;0;0;0;0;0;0;0;0;0;0;0;-0.60719;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
TRUCK_FUEL_CELL;0;0;0;0;0;0;0;0;0;0;-0.46799;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
TRUCK_ELEC;-0.25866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
TRUCK_NG;0;0;0;0;-0.61176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
EFFICIENCY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
DHN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
GRID;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
H2_ELECTROLYSIS;-1.07595;0;0;0;0;0;0;0;0;0;1;0;0;0;-0.18987;0.018987;0;0;0;0;0;0;0;0;0;0;0;0;0;
SMR;0;0;0;0;-1.3646;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.27292;0;
H2_BIOMASS;0;0;0;0;0;-2.32542;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.901719;0;
GASIFICATION_SNG;0;0;0;0;1;-1.58124;0;0;0;0;0;0;0;0;0;0.338;0;0;0;0;0;0;0;0;0;0;0;0.400015;0;
SYN_METHANATION;0;0;0;0;1;0;0;0;0;0;-1.2;0;0;0;0;0.295;0;0;0;0;0;0;0;0;0;0;0;0;-0.2;
BIOMETHANATION;0;0;0;0;1;0;-3.3462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.105018;0;
BIO_HYDROLYSIS;0.094563;0;0;0;1;0;-2.36407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.72198582;0;
ATM_CCS;-1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;
INDUSTRY_CCS;-0.233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0.9;
SYN_METHANOLATION;-0.0344;0;0;0;0;0;0;0;0;0;-1.26049;0;1;0;0;0.083091;0;0;0;0;0;0;0;0;0;0;0;0;-0.2457033;
METHANE_TO_METHANOL;0;0;0;0;-1.52905;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0601071;0;
BIOMASS_TO_METHANOL;0.032258;0;0;0;0;-1.62219;0;0;0;0;0;0;1;0;0;0.35484;0;0;0;0;0;0;0;0;0;0;0;0.38332771;0;
HABER_BOSCH;-0.12255;0;0;0;0;0;0;0;0;0;-1.13;1;0;0;0;0.134042;0;0;0;0;0;0;0;0;0;0;0;0;0;
AMMONIA_TO_H2;0;0;0;0;0;0;0;0;0;0;1;-1.5588;0;0;-0.15;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;
OIL_TO_HVC;-0.02119;0;0;-1.81818;0;0;0;0;0;0;0;0;0;1;-0.01722;0;0;0;0;0;0;0;0;0;0;0;0;0.21272727;0;
GAS_TO_HVC;-0.47059;0;0;0;-2.79365;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.29873016;0;
METHANOL_TO_HVC;0;0;0;0;0;0;0;0;0;0;0;0;-1.24116;1;-0.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
REDIFUEL;-0.407;0.701;1;0;0;-3.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.994;0;
ADLIBIO_TO_FUEL;-0.01704;1;0;0;0;-1.67244;0;0;0;0;-0.685333333;0;0;0;1.2784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ADLIBIO_TO_HVC;-0.052171787;0;0;0;0;-3.040796959;0;0;0;0;-1.24605936;0;0;1;2.307141312;0;0;0;0;0;0;0;0;0;0;0;0;0.2127272;0;
