Td 	 Time	AMMONIA	AMMONIA_RE_BE	AMMONIA_RE_IMPORT	BIODIESEL	BIODIESEL_BE	BIOETHANOL	CO2_ATM	CO2_CAPTURED	CO2_EMISSIONS	CO2_INDUSTRY	COAL	DIESEL	ELEC_EXPORT	ELECTRICITY	GAS	GAS_RE_BE	GAS_RE_IMPORT	GASOLINE	H2	H2_RE_BE	H2_RE_IMPORT	LFO	LFO_RE_BE	METHANOL	METHANOL_RE_BE	METHANOL_RE_IMPORT	RES_GEO	RES_HYDRO	RES_SOLAR	RES_WIND	URANIUM	WASTE	WET_BIOMASS	WOOD	WOOD_PRODUCTION	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	METHANOL_TO_HVC	ADLIBIO_TO_HVC	ADLIBIO_TO_FUEL	AMMONIA_TO_H2	ATM_CCS	BIO_HYDROLYSIS	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	REDIFUEL	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																																																																																				0.132077	0.000000	0.000000	0.000000	0.000000	0.000000	0.311709	0.000000																																																																																			-0.443786	
 1 	 2																																																																																				0.052876	0.000000	0.000000	0.000000	0.000000	0.000000	0.124790	0.000000																																																																																			-0.177666	
 1 	 3																																																																																				0.026325	0.000000	0.000000	0.000000	0.000000	0.000000	0.062129	0.000000																																																																																			-0.088455	
 1 	 4																																																																																				0.317255	0.000000	0.000000	0.000000	0.000000	0.000000	0.748739	0.000000																																																																																			-1.065994	
 1 	 5																																																																																				0.846012	0.000000	0.000000	0.000000	0.000000	0.000000	1.996637	0.000000																																																																																			-2.842650	
 1 	 6																																																																																				2.115031	0.000000	0.000000	0.000000	0.000000	0.000001	4.991594	0.000000																																																																																			-7.106625	
 1 	 7																																																																																				4.097310	0.000000	0.000000	0.000000	0.000000	0.000001	9.669885	0.000000																																																																																			-13.767196	
 1 	 8																																																																																				3.568620	0.000000	0.000000	0.000000	0.000000	0.000001	8.422146	0.000000																																																																																			-11.990767	
 1 	 9																																																																																				3.304286	0.000000	0.000000	0.000000	0.000000	0.000001	7.798303	0.000000																																																																																			-11.102590	
 1 	 10																																																																																				3.700809	0.000000	0.000000	0.000000	0.000000	0.000001	8.734121	0.000000																																																																																			-12.434931	
 1 	 11																																																																																				4.229477	0.000000	0.000000	0.000000	0.000000	0.000001	9.981807	0.000000																																																																																			-14.211285	
 1 	 12																																																																																				4.652438	0.000000	0.000000	0.000000	0.000000	0.000001	10.980019	0.000000																																																																																			-15.632459	
 1 	 13																																																																																				4.229477	0.000000	0.000000	0.000000	0.000000	0.000001	9.981807	0.000000																																																																																			-14.211285	
 1 	 14																																																																																				4.282353	0.000000	0.000000	0.000000	0.000000	0.000001	10.106597	0.000000																																																																																			-14.388950	
 1 	 15																																																																																				4.811043	0.000000	0.000000	0.000000	0.000000	0.000001	11.354336	0.000000																																																																																			-16.165380	
 1 	 16																																																																																				5.022524	0.000000	0.000000	0.000000	0.000000	0.000001	11.853442	0.000000																																																																																			-16.875967	
 1 	 17																																																																																				5.022524	0.000000	0.000000	0.000000	0.000000	0.000001	11.853442	0.000000																																																																																			-16.875967	
 1 	 18																																																																																				3.700809	0.000000	0.000000	0.000000	0.000000	0.000001	8.734121	0.000000																																																																																			-12.434931	
 1 	 19																																																																																				2.643429	0.000000	0.000000	0.000000	0.000000	0.000001	6.238642	0.000000																																																																																			-8.882072	
 1 	 20																																																																																				1.982279	0.000000	0.000000	0.000000	0.000000	0.000001	4.678292	0.000000																																																																																			-6.660571	
 1 	 21																																																																																				1.320769	0.000000	0.000000	0.000000	0.000000	0.000000	3.117091	0.000000																																																																																			-4.437861	
 1 	 22																																																																																				0.846012	0.000000	0.000000	0.000000	0.000000	0.000000	1.996637	0.000000																																																																																			-2.842650	
 1 	 23																																																																																				0.528758	0.000000	0.000000	0.000000	0.000000	0.000000	1.247898	0.000000																																																																																			-1.776656	
 1 	 24																																																																																				0.211503	0.000000	0.000000	0.000000	0.000000	0.000000	0.499159	0.000000																																																																																			-0.710663	
 2 	 1																																																																																				0.132077	0.000000	0.000000	0.000000	0.000000	0.000000	0.311709	0.000000																																																																																			-0.443786	
 2 	 2																																																																																				0.052876	0.000000	0.000000	0.000000	0.000000	0.000000	0.124790	0.000000																																																																																			-0.177666	
 2 	 3																																																																																				0.026325	0.000000	0.000000	0.000000	0.000000	0.000000	0.062129	0.000000																																																																																			-0.088455	
 2 	 4																																																																																				0.317255	0.000000	0.000000	0.000000	0.000000	0.000000	0.748739	0.000000																																																																																			-1.065994	
 2 	 5																																																																																				0.846012	0.000000	0.000000	0.000000	0.000000	0.000000	1.996637	0.000000																																																																																			-2.842650	
 2 	 6																																																																																				2.115031	0.000000	0.000000	0.000000	0.000000	0.000001	4.991594	0.000000																																																																																			-7.106625	
 2 	 7																																																																																				4.097310	0.000000	0.000000	0.000000	0.000000	0.000001	9.669885	0.000000																																																																																			-13.767196	
 2 	 8																																																																																				3.568620	0.000000	0.000000	0.000000	0.000000	0.000001	8.422146	0.000000																																																																																			-11.990767	
 2 	 9																																																																																				3.304286	0.000000	0.000000	0.000000	0.000000	0.000001	7.798303	0.000000																																																																																			-11.102590	
 2 	 10																																																																																				3.700809	0.000000	0.000000	0.000000	0.000000	0.000001	8.734121	0.000000																																																																																			-12.434931	
 2 	 11																																																																																				4.229477	0.000000	0.000000	0.000000	0.000000	0.000001	9.981807	0.000000																																																																																			-14.211285	
 2 	 12																																																																																				4.652438	0.000000	0.000000	0.000000	0.000000	0.000001	10.980019	0.000000																																																																																			-15.632459	
 2 	 13																																																																																				4.229477	0.000000	0.000000	0.000000	0.000000	0.000001	9.981807	0.000000																																																																																			-14.211285	
 2 	 14																																																																																				4.282353	0.000000	0.000000	0.000000	0.000000	0.000001	10.106597	0.000000																																																																																			-14.388950	
 2 	 15																																																																																				4.811043	0.000000	0.000000	0.000000	0.000000	0.000001	11.354336	0.000000																																																																																			-16.165380	
 2 	 16																																																																																				5.022524	0.000000	0.000000	0.000000	0.000000	0.000001	11.853442	0.000000																																																																																			-16.875967	
 2 	 17																																																																																				5.022524	0.000000	0.000000	0.000000	0.000000	0.000001	11.853442	0.000000																																																																																			-16.875967	
 2 	 18																																																																																				3.700809	0.000000	0.000000	0.000000	0.000000	0.000001	8.734121	0.000000																																																																																			-12.434931	
 2 	 19																																																																																				2.643429	0.000000	0.000000	0.000000	0.000000	0.000001	6.238642	0.000000																																																																																			-8.882072	
